Rank,Title,Release_Year,Domestic Box Office,International Box Office,Total Box Office
78,Star Wars Ep. V: The Empire Strikes Back,1980,"$290,271,960","$243,900,000","$534,171,960"
79,Harry Potter and the Goblet of Fire,2005,"$290,013,036","$606,898,042","$896,911,078"
80,"Monsters, Inc.",2001,"$289,423,425","$270,334,294","$559,757,719"
81,Home Alone,1990,"$285,761,243","$190,923,432","$476,684,675"
82,The Hunger Games: Mockingjay - Part 2,2015,"$281,723,902","$368,799,525","$650,523,427"
83,The Matrix Reloaded,2003,"$281,553,689","$457,023,240","$738,576,929"
84,"The Twilight Saga: Breaking Dawn, Part 1",2011,"$281,287,133","$408,132,918","$689,420,051"
85,Meet the Fockers,2004,"$279,167,575","$237,400,000","$516,567,575"
86,The Hangover,2009,"$277,322,503","$188,441,583","$465,764,086"
87,Gravity,2013,"$274,092,705","$421,849,092","$695,941,797"
88,Sing,2016,"$270,329,045","$357,557,242","$627,886,287"
89,Monsters University,2013,"$268,488,329","$475,100,000","$743,588,329"
90,Shrek,2001,"$267,655,011","$224,157,783","$491,812,794"
91,The Amazing Spider-Man,2012,"$262,030,663","$495,859,604","$757,890,267"
92,Harry Potter and the Chamber of Secrets,2002,"$261,987,880","$616,991,754","$878,979,634"
93,The Incredibles,2004,"$261,441,092","$353,285,660","$614,726,752"
94,How the Grinch Stole Christmas,2000,"$260,044,825","$85,096,578","$345,141,403"
95,Jaws,1975,"$260,000,000","$210,700,000","$470,700,000"
96,Captain America: The Winter Soldier,2014,"$259,746,958","$454,654,931","$714,401,889"
97,Spider-Man: Homecoming,2017,"$259,343,955","$323,836,607","$583,180,562"
98,The Hobbit: The Desolation of Smaug,2013,"$258,366,855","$702,000,000","$960,366,855"
99,The Lego Movie,2014,"$257,784,718","$199,944,670","$457,729,388"
100,Star Trek,2009,"$257,730,019","$127,950,427","$385,680,446"
101,I am Legend,2007,"$256,393,010","$329,139,674","$585,532,684"
102,The Blind Side,2009,"$255,959,475","$49,746,319","$305,705,794"
103,The Hobbit: The Battle of the Five Armies,2014,"$255,119,788","$700,000,000","$955,119,788"
104,The Hangover Part II,2011,"$254,464,305","$332,000,000","$586,464,305"
105,Despicable Me,2010,"$251,513,985","$291,981,048","$543,495,033"
106,Batman,1989,"$251,188,924","$160,160,000","$411,348,924"
107,Night at the Museum,2006,"$250,863,268","$328,583,139","$579,446,407"
108,Men in Black,1997,"$250,690,539","$337,100,000","$587,790,539"
109,Harry Potter and the Prisoner of Azkaban,2004,"$249,538,952","$547,149,597","$796,688,549"
110,Moana,2016,"$248,757,044","$390,780,164","$639,537,208"
111,Raiders of the Lost Ark,1981,"$248,159,971","$141,766,000","$389,925,971"
112,Toy Story 2,1999,"$245,852,179","$265,506,097","$511,358,276"
113,Transformers: Age of Extinction,2014,"$245,439,076","$858,600,000","$1,104,039,076"
114,Cars,2006,"$244,082,982","$217,568,264","$461,651,246"
115,Bruce Almighty,2003,"$242,704,995","$241,763,613","$484,468,608"
116,Ghostbusters,1984,"$242,212,467","$53,000,000","$295,212,467"
117,Twister,1996,"$241,688,385","$254,011,615","$495,700,000"
118,My Big Fat Greek Wedding,2002,"$241,438,208","$133,451,826","$374,890,034"
119,Maleficent,2014,"$241,407,328","$517,129,407","$758,536,735"
120,Pirates of the Caribbean: On Stranger Tides,2011,"$241,063,875","$804,600,000","$1,045,663,875"
121,Shrek Forever After,2010,"$238,736,787","$517,507,886","$756,244,673"
122,Fast and Furious 6,2013,"$238,679,850","$550,620,594","$789,300,444"
123,Brave,2012,"$237,282,182","$317,324,350","$554,606,532"
124,Oz the Great and Powerful,2013,"$234,770,996","$255,588,055","$490,359,051"
125,Beverly Hills Cop,1984,"$234,760,478","$81,539,522","$316,300,000"
126,X-Men: The Last Stand,2006,"$234,362,462","$224,997,093","$459,359,555"
127,War of the Worlds,2005,"$234,280,354","$372,556,181","$606,836,535"
128,Fantastic Beasts and Where to Find Them,2016,"$234,037,575","$569,760,767","$803,798,342"
129,X-Men: Days of Future Past,2014,"$233,921,534","$513,941,241","$747,862,775"
130,Cast Away,2000,"$233,632,142","$193,598,374","$427,230,516"
131,Doctor Strange,2016,"$232,641,920","$444,900,000","$677,541,920"
132,The Lost World: Jurassic Park,1997,"$229,086,679","$389,552,320","$618,638,999"
133,Star Trek Into Darkness,2013,"$228,778,661","$238,602,923","$467,381,584"
134,The Martian,2015,"$228,433,663","$435,418,242","$663,851,905"
135,Signs,2002,"$227,969,295","$180,300,000","$408,269,295"
136,Hancock,2008,"$227,946,274","$396,287,998","$624,234,272"
137,The Bourne Ultimatum,2007,"$227,471,070","$214,690,492","$442,161,562"
138,Logan,2017,"$226,277,068","$389,300,000","$615,577,068"
139,Rush Hour 2,2001,"$226,164,286","$121,261,546","$347,425,832"
140,The Fate of the Furious,2017,"$225,764,765","$1,011,679,697","$1,237,444,462"
141,WALL-E,2008,"$223,808,164","$308,782,830","$532,590,994"
