Rank,Title,Release_Year,Domestic Box Office,International Box Office,Total Box Office
"1,160",Hannah Montana/Miley Cyrus: Best of Both Worlds…,2008,"$65,281,781","$5,430,318","$70,712,099"
"1,161",Battleship,2012,"$65,233,400","$239,984,828","$305,218,228"
"1,162",The Amityville Horror,2005,"$65,233,369","$43,942,304","$109,175,673"
"1,163",Lethal Weapon,1987,"$65,192,350","$55,000,000","$120,192,350"
"1,164",Jack the Giant Slayer,2013,"$65,187,603","$132,500,000","$197,687,603"
"1,165",The Visit,2015,"$65,112,020","$33,483,191","$98,595,211"
"1,166",Now You See Me 2,2016,"$65,075,540","$263,600,000","$328,675,540"
"1,167",Barbershop 2: Back in Business,2004,"$65,070,412","$772,000","$65,842,412"
"1,168",Think Like a Man Too,2014,"$65,028,687","$4,999,246","$70,027,933"
"1,169",Exodus: Gods and Kings,2014,"$65,014,513","$203,300,000","$268,314,513"
"1,170",Wolf,1994,"$65,011,757","$66,000,000","$131,011,757"
"1,171",About Schmidt,2002,"$65,005,217","$42,049,267","$107,054,484"
"1,172",Friday the 13th,2009,"$65,002,019","$27,668,218","$92,670,237"
"1,173",Pitch Perfect,2012,"$65,001,093","$51,043,254","$116,044,347"
"1,174",Antarctica,1991,"$65,000,000","$1,070,389","$66,070,389"
"1,175",Song of the South,1946,"$65,000,000",$0,"$65,000,000"
"1,176",Stuart Little 2,2002,"$64,956,806","$101,043,194","$166,000,000"
"1,177",Mirror Mirror,2012,"$64,935,167","$108,678,315","$173,613,482"
"1,178",The Living Sea,1995,"$64,800,000",$0,"$64,800,000"
"1,179",Mr. Mom,1983,"$64,800,000",$0,"$64,800,000"
"1,180",Flushed Away,2006,"$64,665,672","$114,691,454","$179,357,126"
"1,181",L.A. Confidential,1997,"$64,604,977","$61,600,000","$126,204,977"
"1,182",Chronicle,2012,"$64,575,175","$59,106,615","$123,681,790"
"1,183",The Happening,2008,"$64,506,874","$98,271,510","$162,778,384"
"1,184",The Purge,2013,"$64,473,115","$26,793,466","$91,266,581"
"1,185",The Wedding Ringer,2015,"$64,460,211","$15,711,385","$80,171,596"
"1,186",Field of Dreams,1989,"$64,431,625",$0,"$64,431,625"
"1,187",Miracle,2004,"$64,378,093","$96,612","$64,474,705"
"1,188",A Dog’s Purpose,2017,"$64,321,890","$125,600,693","$189,922,583"
"1,189",Jackass: The Movie,2002,"$64,282,312","$15,000,000","$79,282,312"
"1,190",The Nut Job,2014,"$64,251,538","$58,278,428","$122,529,966"
"1,191",Down to Earth,2001,"$64,172,251","$7,000,000","$71,172,251"
"1,192",17 Again,2009,"$64,167,069","$75,307,837","$139,474,906"
"1,193",Ice Age: Collision Course,2016,"$64,063,008","$339,778,629","$403,841,637"
"1,194",Life,1999,"$64,062,587","$9,459,000","$73,521,587"
"1,195",Déjà Vu,2006,"$64,038,616","$117,000,000","$181,038,616"
"1,196",Happy Feet Two,2011,"$64,006,466","$93,950,000","$157,956,466"
"1,197",Diary of a Wimpy Kid,2010,"$64,003,625","$12,950,686","$76,954,311"
"1,198",Sky High,2005,"$63,939,454","$19,169,905","$83,109,359"
"1,199",Last Vegas,2013,"$63,914,167","$49,000,000","$112,914,167"
"1,200",Scent of a Woman,1992,"$63,895,607",$0,"$63,895,607"
"1,201",Dirty Dancing,1987,"$63,892,689","$150,007,311","$213,900,000"
"1,202",Staying Alive,1983,"$63,841,474","$62,200,000","$126,041,474"
"1,203",In & Out,1997,"$63,826,569","$19,400,000","$83,226,569"
"1,204",Mona Lisa Smile,2003,"$63,803,100","$77,402,069","$141,205,169"
"1,205",Working Girl,1988,"$63,800,000",$0,"$63,800,000"
"1,206",The Witches of Eastwick,1987,"$63,749,955",$0,"$63,749,955"
"1,207",What About Bob?,1991,"$63,710,000",$0,"$63,710,000"
"1,208",Unknown,2011,"$63,686,397","$72,436,686","$136,123,083"
"1,209",Babe,1995,"$63,658,910","$182,441,090","$246,100,000"
"1,210",Thunderball,1965,"$63,600,000","$77,600,000","$141,200,000"
"1,211",The Fifth Element,1997,"$63,570,862","$200,329,138","$263,900,000"
"1,212",Risky Business,1983,"$63,541,777",$0,"$63,541,777"
"1,213",Hope Springs,2012,"$63,536,011","$69,549,284","$133,085,295"
"1,214",A Fish Called Wanda,1988,"$63,493,000",$0,"$63,493,000"
"1,215",Miami Vice,2006,"$63,478,838","$100,339,718","$163,818,556"
"1,216",She's All That,1999,"$63,465,522",$0,"$63,465,522"
"1,217",The Time Traveler's Wife,2009,"$63,414,846","$38,917,289","$102,332,135"
"1,218",Tango & Cash,1989,"$63,408,614",$0,"$63,408,614"
"1,219",Bewitched,2005,"$63,313,159","$67,846,147","$131,159,306"
"1,220",Saw IV,2007,"$63,300,095","$72,459,599","$135,759,694"
"1,221",The Holiday,2006,"$63,280,000","$141,910,324","$205,190,324"
"1,222",Dave,1993,"$63,270,710",$0,"$63,270,710"
"1,223",Madea's Family Reunion,2006,"$63,257,940","$62,581","$63,320,521"
"1,224",Forgetting Sarah Marshall,2008,"$63,172,463","$42,000,579","$105,173,042"
"1,225",The Sorcerer's Apprentice,2010,"$63,150,991","$154,835,329","$217,986,320"
"1,226",A Star is Born,1976,"$63,129,898",$0,"$63,129,898"
"1,227",Beavis and Butt-head Do America,1996,"$63,118,386",$0,"$63,118,386"
"1,228",Rising Sun,1993,"$63,095,271",$0,"$63,095,271"
"1,229",The Boss,2016,"$63,077,560","$15,574,835","$78,652,395"
"1,230",A Nightmare on Elm Street,2010,"$63,075,011","$54,654,610","$117,729,621"
"1,231",The Last Song,2010,"$62,950,384","$29,728,564","$92,678,948"
"1,232",Jarhead,2005,"$62,647,540","$34,300,000","$96,947,540"
"1,233",The Fast and the Furious: Tokyo Drift,2006,"$62,615,510","$95,178,695","$157,794,205"
"1,234",Splash,1984,"$62,599,495",$0,"$62,599,495"
"1,235",Black Mass,2015,"$62,575,678","$36,262,194","$98,837,872"
"1,236",The Crying Game,1992,"$62,546,695",$0,"$62,546,695"
"1,237",London Has Fallen,2016,"$62,524,260","$131,333,702","$193,857,962"
"1,238",Patton,1970,"$62,500,000",$0,"$62,500,000"
"1,239",The Adjustment Bureau,2011,"$62,495,645","$64,435,680","$126,931,325"
"1,240",Spy Game,2001,"$62,362,560","$80,687,000","$143,049,560"
"1,241",Underworld: Awakening,2012,"$62,321,039","$98,058,891","$160,379,930"
"1,242",Underworld: Evolution,2006,"$62,318,875","$51,098,887","$113,417,762"
"1,243",The Wolfman,2010,"$62,189,884","$80,444,474","$142,634,358"
"1,244",Down and Out in Beverly Hills,1986,"$62,134,225",$0,"$62,134,225"
"1,245",Mouse Hunt,1997,"$61,894,591",$0,"$61,894,591"
"1,246",Ender's Game,2013,"$61,737,191","$66,246,092","$127,983,283"
"1,247",Miracles from Heaven,2016,"$61,705,123","$12,093,597","$73,798,720"
"1,248",Cinderella Man,2005,"$61,649,911","$43,371,577","$105,021,488"
"1,249",Deepwater Horizon,2016,"$61,433,527","$52,178,139","$113,611,666"
"1,250",National Lampoon’s Vacation,1983,"$61,400,000",$0,"$61,400,000"
"1,251",The Goonies,1985,"$61,389,680",$0,"$61,389,680"
"1,252",The Saint,1997,"$61,363,304","$108,036,696","$169,400,000"
"1,253",Stomp the Yard,2007,"$61,356,221","$14,169,497","$75,525,718"
"1,254",Rules of Engagement,2000,"$61,322,858","$10,397,073","$71,719,931"
"1,255",Flatliners,1990,"$61,308,153",$0,"$61,308,153"
"1,256",The Cell,2000,"$61,280,963","$24,630,263","$85,911,226"
"1,257",Friday Night Lights,2004,"$61,255,921","$694,849","$61,950,770"
"1,258",Misery,1990,"$61,158,960",$0,"$61,158,960"
"1,259",Get Him to the Greek,2010,"$61,153,526","$30,302,349","$91,455,875"
"1,260",The Shaggy Dog,2006,"$61,123,569","$26,000,000","$87,123,569"
"1,261",Devil's Advocate,1997,"$61,007,424","$92,000,000","$153,007,424"
"1,262",Prisoners,2013,"$61,002,302","$52,400,000","$113,402,302"
"1,263",Mission to Mars,2000,"$60,874,615","$45,125,385","$106,000,000"
"1,264",Harlem Nights,1989,"$60,857,262","$35,000,000","$95,857,262"
"1,265",Coyote Ugly,2000,"$60,786,269","$53,130,205","$113,916,474"
"1,266",God’s Not Dead,2014,"$60,755,732","$3,021,360","$63,777,092"
"1,267",Poseidon,2006,"$60,674,817","$121,000,000","$181,674,817"
"1,268",Three Kings,1999,"$60,652,036","$47,100,000","$107,752,036"
"1,269",Jingle All the Way,1996,"$60,592,389","$69,240,000","$129,832,389"
"1,270",Kiss the Girls,1997,"$60,527,873",$0,"$60,527,873"
"1,271",After Earth,2013,"$60,522,097","$190,977,568","$251,499,665"
"1,272",Fantasia 2000 (IMAX),2000,"$60,507,228",$0,"$60,507,228"
"1,273",Baby Mama,2008,"$60,494,212","$3,676,235","$64,170,447"
"1,274",Shanghai Knights,2003,"$60,470,220","$27,846,615","$88,316,835"
"1,275",The Lucky One,2012,"$60,457,138","$36,176,695","$96,633,833"
"1,276",The Wedding Planner,2001,"$60,400,856","$34,327,673","$94,728,529"
"1,277",Burn After Reading,2008,"$60,355,347","$107,812,451","$168,167,798"
"1,278",Why Him?,2016,"$60,323,786","$57,200,000","$117,523,786"
"1,279",The Cable Guy,1996,"$60,240,295","$42,585,501","$102,825,796"
"1,280",Resident Evil: Afterlife,2010,"$60,128,566","$235,745,624","$295,874,190"
"1,281",Hope Floats,1998,"$60,110,313","$21,418,687","$81,529,000"
"1,282",Why Did I Get Married Too?,2010,"$60,095,852","$735,215","$60,831,067"
"1,283",The Family Stone,2005,"$60,062,868","$32,294,631","$92,357,499"
"1,284",Bad Santa,2003,"$60,060,328","$17,086,703","$77,147,031"
"1,285",Brüno,2009,"$60,054,530","$70,733,713","$130,788,243"
"1,286",Species,1995,"$60,054,449","$53,300,000","$113,354,449"
"1,287",The American President,1995,"$60,022,813","$47,800,000","$107,822,813"
"1,288",The Tooth Fairy,2010,"$60,022,256","$52,588,130","$112,610,386"
"1,289",Snow Day,2000,"$60,008,303","$2,444,624","$62,452,927"
"1,290",Superman III,1983,"$59,950,623",$0,"$59,950,623"
"1,291",Jungle 2 Jungle,1997,"$59,925,026",$0,"$59,925,026"
"1,292",The Good Shepherd,2006,"$59,908,565","$40,000,000","$99,908,565"
"1,293",Little Miss Sunshine,2006,"$59,891,098","$40,751,255","$100,642,353"
"1,294",The Benchwarmers,2006,"$59,843,754","$5,219,972","$65,063,726"
"1,295",Predator,1987,"$59,735,548","$38,532,010","$98,267,558"
"1,296",Son of God,2014,"$59,700,064","$11,249,729","$70,949,793"
"1,297",Secretariat,2010,"$59,699,513","$676,734","$60,376,247"
"1,298",My Big Fat Greek Wedding 2,2016,"$59,689,605","$31,962,273","$91,651,878"
"1,299",The Dictator,2012,"$59,650,222","$120,498,675","$180,148,897"
"1,300",Hellboy,2004,"$59,623,958","$40,200,000","$99,823,958"
"1,301",Gothika,2003,"$59,588,068","$81,896,744","$141,484,812"
"1,302",Spies Like Us,1985,"$59,526,202",$0,"$59,526,202"
"1,303",The Last Boy Scout,1991,"$59,509,925",$0,"$59,509,925"
"1,304",The Stepford Wives,2004,"$59,475,623","$36,746,348","$96,221,971"
"1,305",Love Actually,2003,"$59,472,278","$188,477,969","$247,950,247"
"1,306",Scrooged,1988,"$59,450,353",$0,"$59,450,353"
"1,307",Planes: Fire and Rescue,2014,"$59,157,732","$97,241,912","$156,399,644"
"1,308",The Grand Budapest Hotel,2014,"$59,076,019","$105,274,390","$164,350,409"
"1,309",Courage Under Fire,1996,"$59,003,384","$41,829,761","$100,833,145"
"1,310",Dawn of the Dead,2004,"$58,990,765","$44,462,110","$103,452,875"
"1,311",Vacation,2015,"$58,884,188","$41,771,704","$100,655,892"
"1,312",Far and Away,1992,"$58,883,840",$0,"$58,883,840"
"1,313",Total Recall,2012,"$58,877,969","$152,978,119","$211,856,088"
"1,314",Surf's Up,2007,"$58,867,694","$86,528,051","$145,395,745"
"1,315",Behind Enemy Lines,2001,"$58,855,732",$0,"$58,855,732"
"1,316",Bride Wars,2009,"$58,715,510","$56,434,914","$115,150,424"
"1,317",Water for Elephants,2011,"$58,709,717","$58,100,000","$116,809,717"
"1,318",Jack Reacher: Never Go Back,2016,"$58,697,076","$101,341,331","$160,038,407"
"1,319",Honey I Blew Up the Kid,1992,"$58,662,452",$0,"$58,662,452"
"1,320",Curious George,2006,"$58,640,119","$12,412,485","$71,052,604"
"1,321",Little Man,2006,"$58,636,047","$43,000,000","$101,636,047"
"1,322",Jack,1996,"$58,617,334",$0,"$58,617,334"
"1,323",RoboCop,2014,"$58,607,007","$184,374,792","$242,981,799"
"1,324",Sea of Love,1989,"$58,571,513",$0,"$58,571,513"
"1,325",HouseSitter,1992,"$58,500,635","$36,400,000","$94,900,635"
"1,326",Funny Girl,1968,"$58,500,000",$0,"$58,500,000"
"1,327",Death Becomes Her,1992,"$58,422,650","$90,600,000","$149,022,650"
"1,328",Anastasia,1997,"$58,403,409","$81,397,881","$139,801,290"
"1,329",Easy A,2010,"$58,401,464","$17,799,257","$76,200,721"
"1,330",Open Range,2003,"$58,331,254","$10,282,738","$68,613,992"
"1,331",Halloween,2007,"$58,269,151","$19,245,250","$77,514,401"
"1,332",The Secret Life of Walter Mitty,2013,"$58,236,838","$130,300,000","$188,536,838"
"1,333",Bicentennial Man,1999,"$58,220,776","$29,200,000","$87,420,776"
"1,334",Ali,2001,"$58,183,966","$29,500,000","$87,683,966"
"1,335",Without a Paddle,2004,"$58,156,435","$6,964,845","$65,121,280"
"1,336",Demolition Man,1993,"$58,055,768","$101,000,000","$159,055,768"
"1,337",Baywatch,2017,"$58,035,798","$111,700,000","$169,735,798"
"1,338",Step Up 2 the Streets,2008,"$58,017,783","$90,569,127","$148,586,910"
"1,339",My Girl,1991,"$58,011,485",$0,"$58,011,485"
"1,340",The Lincoln Lawyer,2011,"$58,009,200","$29,135,886","$87,145,086"
"1,341",The Butterfly Effect,2004,"$57,924,679","$37,713,913","$95,638,592"
"1,342",Red Eye,2005,"$57,891,803","$38,774,683","$96,666,486"
"1,343",Shall We Dance?,2004,"$57,887,882","$60,210,000","$118,097,882"
"1,344",U.S. Marshals,1998,"$57,833,603",$0,"$57,833,603"
"1,345",Invincible,2006,"$57,806,952","$694,175","$58,501,127"
"1,346",Takers,2010,"$57,744,720","$12,842,548","$70,587,268"
"1,347",The Chronicles of Riddick,2004,"$57,712,751","$49,500,000","$107,212,751"
"1,348",Fences,2016,"$57,682,904","$3,881,620","$61,564,524"
"1,349",Life is Beautiful,1998,"$57,598,247","$171,787,114","$229,385,361"
"1,350",The Cider House Rules,1999,"$57,547,209","$31,000,000","$88,547,209"
"1,351",The Cannonball Run,1981,"$57,498,710",$0,"$57,498,710"
"1,352",Pet Sematary,1989,"$57,469,179",$0,"$57,469,179"
"1,353",Dragnet,1987,"$57,387,000",$0,"$57,387,000"
"1,354",The Shack,2017,"$57,386,418","$35,556,407","$92,942,825"
"1,355",Moulin Rouge,2001,"$57,386,369","$121,823,316","$179,209,685"
"1,356",Blood Diamond,2006,"$57,377,916","$114,000,000","$171,377,916"
"1,357",The Specialist,1994,"$57,362,581",$0,"$57,362,581"
"1,358",Sister Act 2 Back in the Habit,1993,"$57,319,029",$0,"$57,319,029"
"1,359",The Godfather: Part II,1974,"$57,300,000",$0,"$57,300,000"
"1,360",Willow,1988,"$57,269,863",$0,"$57,269,863"
"1,361",The Whole Nine Yards,2000,"$57,262,492","$28,265,375","$85,527,867"
"1,362",The Blues Brothers,1980,"$57,229,890",$0,"$57,229,890"
"1,363",Next Friday,2000,"$57,176,582","$2,498,725","$59,675,307"
"1,364",Chariots of Fire,1981,"$57,159,946","$307,785","$57,467,731"
"1,365","What's Up, Doc?",1972,"$57,142,740",$0,"$57,142,740"
"1,366",Twelve Monkeys,1995,"$57,141,459","$111,700,000","$168,841,459"
"1,367",13 Going On 30,2004,"$57,139,723","$39,300,000","$96,439,723"
"1,368",Unlawful Entry,1992,"$57,138,719",$0,"$57,138,719"
"1,369",Annie,1982,"$57,059,003",$0,"$57,059,003"
"1,370",Beaches,1988,"$57,041,866",$0,"$57,041,866"
"1,371",The Perfect Guy,2015,"$57,017,904","$3,246,901","$60,264,805"
"1,372",Escape From Planet Earth,2013,"$57,012,977","$17,143,633","$74,156,610"
"1,373",Memoirs of a Geisha,2005,"$57,010,853","$104,500,000","$161,510,853"
"1,374",Cleopatra,1963,"$57,000,000","$14,000,000","$71,000,000"
"1,375",Beethoven,1992,"$56,979,478",$0,"$56,979,478"
"1,376",The Man in the Iron Mask,1998,"$56,968,169",$0,"$56,968,169"
"1,377",Dunkirk,2017,"$56,957,597","$55,178,785","$112,136,382"
"1,378",Shanghai Noon,2000,"$56,932,305","$14,257,530","$71,189,835"
"1,379",Midnight in Paris,2011,"$56,816,662","$106,021,711","$162,838,373"
"1,380",American Reunion,2012,"$56,758,835","$180,040,376","$236,799,211"
"1,381",Saw V,2008,"$56,746,769","$61,463,009","$118,209,778"
"1,382",A Civil Action,1998,"$56,709,981",$0,"$56,709,981"
"1,383",2001: A Space Odyssey,1968,"$56,700,000","$12,000,000","$68,700,000"
"1,384",Guess Who's Coming to Dinner,1967,"$56,700,000",$0,"$56,700,000"
"1,385",The Time Machine,2002,"$56,684,819","$42,298,771","$98,983,590"
"1,386",Executive Decision,1996,"$56,679,192","$65,400,000","$122,079,192"
"1,387",12 Years a Slave,2013,"$56,671,993","$124,353,350","$181,025,343"
"1,388",Rat Race,2001,"$56,607,223","$30,000,000","$86,607,223"
"1,389",Clueless,1995,"$56,598,476",$0,"$56,598,476"
"1,390",Tombstone,1993,"$56,505,065",$0,"$56,505,065"
"1,391",Joy,2015,"$56,451,232","$44,682,827","$101,134,059"
"1,392",The Queen,2006,"$56,441,711","$72,444,162","$128,885,873"
"1,393",Drumline,2002,"$56,398,162",$0,"$56,398,162"
"1,394",Once Upon a Time in Mexico,2003,"$56,330,657","$41,082,870","$97,413,527"
"1,395",Me Before You,2016,"$56,245,075","$149,200,000","$205,445,075"
"1,396",Boyz n the Hood,1991,"$56,190,094","$10,540","$56,200,634"
"1,397",Just Married,2003,"$56,127,162","$45,437,773","$101,564,935"
"1,398",The Fantastic Four,2015,"$56,117,548","$111,000,000","$167,117,548"
"1,399",White Noise,2005,"$56,094,360","$36,000,000","$92,094,360"
"1,400",A Knight’s Tale,2001,"$56,083,966","$44,538,620","$100,622,586"
"1,401",The Big Chill,1983,"$56,077,501",$0,"$56,077,501"
"1,402",Primal Fear,1996,"$56,073,633","$46,500,000","$102,573,633"
"1,403",Wallace & Gromit: The Curse of the Were-Rabbit,2005,"$56,068,547","$141,524,605","$197,593,152"
"1,404",ParaNorman,2012,"$56,003,051","$52,116,611","$108,119,662"
"1,405",Dracula Untold,2014,"$55,991,880","$164,249,843","$220,241,723"
"1,406",Romeo Must Die,2000,"$55,973,336","$35,063,424","$91,036,760"
"1,407",Saw,2004,"$55,968,727","$47,911,300","$103,880,027"
"1,408",Forever Young,1992,"$55,942,530","$72,000,000","$127,942,530"
"1,409",Be Cool,2005,"$55,849,401","$39,094,616","$94,944,017"
"1,410",Friends with Benefits,2011,"$55,802,754","$90,793,137","$146,595,891"
"1,411",The Animal,2001,"$55,762,229",$0,"$55,762,229"
"1,412",Free Birds,2013,"$55,750,480","$54,636,592","$110,387,072"
"1,413",Hansel & Gretel: Witch Hunters,2013,"$55,703,475","$159,246,241","$214,949,716"
"1,414",In Search of Noah's Ark,1977,"$55,700,000",$0,"$55,700,000"
"1,415",Eyes Wide Shut,1999,"$55,691,208","$48,576,235","$104,267,443"
"1,416",Legend of the Guardians: The Owls of Ga'Hoole,2010,"$55,675,313","$84,041,404","$139,716,717"
"1,417",The Aristocats,1970,"$55,675,257",$0,"$55,675,257"
"1,418",Snake Eyes,1998,"$55,591,409","$48,300,000","$103,891,409"
"1,419",Never Say Never Again,1983,"$55,500,000","$104,500,000","$160,000,000"
"1,420",What Dreams May Come,1998,"$55,485,043","$16,000,000","$71,485,043"
"1,421",The BFG,2016,"$55,483,770","$98,626,999","$154,110,769"
"1,422",Never Been Kissed,1999,"$55,474,757",$0,"$55,474,757"
"1,423",The Haunting in Connecticut,2009,"$55,389,516","$23,369,006","$78,758,522"
"1,424",Neighbors 2: Sorority Rising,2016,"$55,340,730","$53,417,791","$108,758,521"
"1,425",Police Academy 2: Their First Assignment,1985,"$55,337,042",$0,"$55,337,042"
"1,426",Crash,2005,"$55,334,418","$45,838,620","$101,173,038"
"1,427",Ghosts of Girlfriends Past,2009,"$55,250,026","$47,262,776","$102,512,802"
"1,428",Why Did I Get Married?,2007,"$55,204,525","$729,653","$55,934,178"
"1,429",Small Soldiers,1998,"$55,143,823","$16,600,000","$71,743,823"
"1,430",The Shallows,2016,"$55,121,623","$63,766,402","$118,888,025"
"1,431",I am Number Four,2011,"$55,100,437","$91,094,722","$146,195,159"
"1,432",Halloween: H2O,1998,"$55,041,738",$0,"$55,041,738"
"1,433",The Guardian,2006,"$55,011,732","$39,961,808","$94,973,540"
"1,434",Don’t Say a Word,2001,"$54,997,476","$49,490,907","$104,488,383"
"1,435",Spawn,1997,"$54,979,992","$32,969,867","$87,949,859"
"1,436",The Jackal,1997,"$54,956,941","$104,400,000","$159,356,941"
"1,437",Alien 3,1992,"$54,927,174","$103,572,826","$158,500,000"
"1,438",For Your Eyes Only,1981,"$54,800,000","$140,500,000","$195,300,000"
"1,439",Starship Troopers,1997,"$54,768,952","$66,331,048","$121,100,000"
"1,440",Office Christmas Party,2016,"$54,767,494","$36,575,000","$91,342,494"
"1,441",This Means War,2012,"$54,760,791","$102,213,766","$156,974,557"
"1,442",Doc Hollywood,1991,"$54,751,779",$0,"$54,751,779"
"1,443",Project X,2012,"$54,731,865","$48,296,323","$103,028,188"
"1,444",Source Code,2011,"$54,712,227","$85,716,272","$140,428,499"
"1,445",Assassin’s Creed,2016,"$54,647,948","$185,850,000","$240,497,948"
"1,446",The Omen,2006,"$54,607,383","$64,688,201","$119,295,584"
"1,447",New Year’s Eve,2011,"$54,544,638","$92,305,635","$146,850,273"
"1,448",Horrible Bosses 2,2014,"$54,445,357","$51,500,000","$105,945,357"
"1,449",The Woman in Black,2012,"$54,333,290","$74,622,608","$128,955,898"
"1,450",The Abyss,1989,"$54,243,125",$0,"$54,243,125"
"1,451",Evil Dead,2013,"$54,239,856","$43,538,500","$97,778,356"
"1,452",The Hundred-Foot Journey,2014,"$54,235,441","$40,035,047","$94,270,488"
"1,453",The Count of Monte Cristo,2002,"$54,228,104","$21,160,986","$75,389,090"
"1,454",La Bamba,1987,"$54,215,416",$0,"$54,215,416"
"1,455",TMNT,2007,"$54,149,098","$41,946,920","$96,096,018"
"1,456",The Hateful Eight,2015,"$54,117,416","$91,325,944","$145,443,360"
"1,457",Final Destination 3,2006,"$54,098,051","$58,700,000","$112,798,051"
"1,458",Barbershop: The Next Cut,2016,"$54,030,051","$374,151","$54,404,202"
"1,459",Insidious,2011,"$54,009,150","$45,861,736","$99,870,886"
"1,460",Dolphins,2000,"$54,000,000","$15,600,000","$69,600,000"
"1,461",The Verdict,1982,"$53,977,250",$0,"$53,977,250"
"1,462",Edward Scissorhands,1990,"$53,976,987",$0,"$53,976,987"
"1,463",Paranormal Activity 4,2012,"$53,900,335","$86,719,185","$140,619,520"
"1,464",Austin Powers: International Man of Mystery,1997,"$53,883,989","$13,800,000","$67,683,989"
"1,465",Focus,2015,"$53,862,963","$100,500,000","$154,362,963"
"1,466",Tin Cup,1996,"$53,854,588","$22,000,000","$75,854,588"
"1,467",Paycheck,2003,"$53,789,313","$45,030,476","$98,819,789"
"1,468",T-Rex: Back to the Cretaceous,1998,"$53,743,249","$49,300,000","$103,043,249"
"1,469",Rambo III,1988,"$53,715,611","$135,000,000","$188,715,611"
"1,470","P.S., I Love You",2007,"$53,695,808","$102,073,870","$155,769,678"
"1,471",The Three Musketeers,1993,"$53,661,805",$0,"$53,661,805"
"1,472",Jet Li's Hero,2004,"$53,652,140","$123,883,818","$177,535,958"
"1,473",3:10 to Yuma,2007,"$53,606,916","$17,564,909","$71,171,825"
"1,474",Rookie of the Year,1993,"$53,579,269",$0,"$53,579,269"
"1,475",Problem Child,1990,"$53,470,891","$18,800,004","$72,270,895"
"1,476",Sabrina,1995,"$53,458,319","$33,641,681","$87,100,000"
"1,477",RoboCop,1987,"$53,424,681",$0,"$53,424,681"
"1,478",Throw Momma From the Train,1987,"$53,380,796",$0,"$53,380,796"
"1,479",Life as We Know It,2010,"$53,374,681","$52,513,156","$105,887,837"
"1,480","Yours, Mine and Ours",2005,"$53,359,917","$19,000,000","$72,359,917"
"1,481",The Corpse Bride,2005,"$53,359,111","$61,411,543","$114,770,654"
"1,482",Madea's Big Happy Family,2011,"$53,345,287",$0,"$53,345,287"
"1,483",Final Destination,2000,"$53,302,314","$58,734,556","$112,036,870"
"1,484",Sleepers,1996,"$53,300,852","$112,300,000","$165,600,852"
"1,485",Papillon,1973,"$53,267,000",$0,"$53,267,000"
"1,486",The Devil Inside,2012,"$53,262,945","$48,496,545","$101,759,490"
"1,487",RED 2,2013,"$53,262,560","$83,900,000","$137,162,560"
"1,488",Arachnophobia,1990,"$53,208,180",$0,"$53,208,180"
"1,489",The Prestige,2006,"$53,089,891","$51,317,475","$104,407,366"
"1,490",Letters to Juliet,2010,"$53,032,453","$29,116,085","$82,148,538"
"1,491",To the Limit,1989,"$53,000,000",$0,"$53,000,000"
"1,492",Blow,2001,"$52,990,775","$30,291,521","$83,282,296"
"1,493",Forces of Nature,1999,"$52,957,800","$41,000,000","$93,957,800"
"1,494",My Cousin Vinny,1992,"$52,929,168",$0,"$52,929,168"
"1,495",Sweeney Todd: The Demon Barber of Fleet Street,2007,"$52,898,073","$100,431,771","$153,329,844"
"1,496",Varsity Blues,1999,"$52,894,169","$1,400,000","$54,294,169"
"1,497",Message in a Bottle,1999,"$52,880,016",$0,"$52,880,016"
"1,498",Outrageous Fortune,1987,"$52,864,741",$0,"$52,864,741"
"1,499",13 Hours: The Secret Soldiers of Benghazi,2016,"$52,853,219","$16,558,151","$69,411,370"
"1,500",Kicking and Screaming,2005,"$52,842,724","$3,000,000","$55,842,724"
"1,501",Grand Canyon: The Hidden Secrets,1984,"$52,800,000","$186,200,000","$239,000,000"
"1,502",The Recruit,2003,"$52,784,696","$48,389,744","$101,174,440"
"1,503",Gandhi,1982,"$52,767,889","$75,000,000","$127,767,889"
"1,504",Unfaithful,2002,"$52,752,475","$66,362,019","$119,114,494"
"1,505",Four Weddings and a Funeral,1994,"$52,700,832","$190,194,977","$242,895,809"
"1,506",Diary of a Wimpy Kid: Rodrick Rules,2011,"$52,698,535","$20,996,659","$73,695,194"
"1,507",Beethoven's 2nd,1993,"$52,636,940",$0,"$52,636,940"
"1,508",King Kong,1976,"$52,614,445","$38,000,000","$90,614,445"
"1,509",The Strangers,2008,"$52,597,610","$30,454,066","$83,051,676"
"1,510",No Good Deed,2014,"$52,543,632","$1,779,578","$54,323,210"
"1,511",Tyler Perry's A Madea Christmas,2013,"$52,543,354",$0,"$52,543,354"
"1,512",Wall Street 2: Money Never Sleeps,2010,"$52,474,616","$84,957,003","$137,431,619"
"1,513",Southpaw,2015,"$52,421,953","$41,785,908","$94,207,861"
"1,514",Blade: Trinity,2004,"$52,397,389","$80,000,000","$132,397,389"
"1,515",The Royal Tenenbaums,2001,"$52,353,636","$19,077,240","$71,430,876"
"1,516",Radio,2003,"$52,333,738","$959,890","$53,293,628"
"1,517",The Lake House,2006,"$52,330,111","$62,500,000","$114,830,111"
"1,518",Ordinary People,1980,"$52,302,978",$0,"$52,302,978"
"1,519",The Color of Money,1986,"$52,293,000",$0,"$52,293,000"
"1,520",Stand by Me,1986,"$52,287,414",$0,"$52,287,414"
